variant,method,display_name,epoch,train_total_loss,train_prediction_loss,train_prediction_online_reference_mse,train_online_ema_latent_drift,train_base_hybrid_td_loss,train_method_hybrid_td_loss,validation_total_loss,validation_prediction_loss,validation_prediction_online_reference_mse,validation_online_ema_latent_drift,validation_base_hybrid_td_loss,validation_method_hybrid_td_loss
g1,actor_free_td_lewm_v2_ema_sg_g1,V2-EMA-SG-G1 Coupled Hybrid Neighbor Action Advantage,10,3179.09716797,2.22292160988,2.0539996624,0.248625710607,4008.9921875,3175.26391602,4833.78808594,2.0216524601,2.16628980637,0.306312859058,4826.60644531,4826.60595703
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,1,1848.4699707,0.795008420944,0.601356446743,0.216413766146,3109.46826172,2934.09887695,4413.57324219,1.11776745319,1.05014824867,0.261573135853,4405.95654297,4452.04003906
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,2,4357.15332031,1.62193274498,1.33699738979,0.292382746935,4931.90673828,4354.12207031,6675.9296875,1.67424607277,1.5203139782,0.191028207541,6668.02490234,6023.26123047
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,3,5599.39990234,2.09946131706,1.75464868546,0.357447683811,6647.38720703,5595.51904297,9147.5,2.03014016151,1.98368799686,0.372189432383,9139.0234375,8324.1171875
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,4,5729.07519531,2.31210947037,1.97404444218,0.360793530941,6998.55957031,5724.89550781,9081.0390625,2.12886428833,2.07879590988,0.21940267086,9072.6640625,8341.35253906
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,5,5405.46875,2.32258844376,2.02470135689,0.335260242224,6598.50341797,5401.25292969,8495.09570312,2.25273656845,2.11213994026,0.204326853156,8487.1484375,7610.37207031
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,6,5066.11230469,2.32935261726,2.06843757629,0.311915546656,6148.87597656,5061.92724609,7331.33300781,2.0931994915,2.32375311852,0.238830536604,7323.28417969,6387.00683594
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,7,4551.24316406,2.31968474388,2.08115768433,0.290159314871,5510.52587891,4547.09423828,7069.24658203,2.05983257294,2.13066577911,0.198489189148,7061.21289062,6240.03662109
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,8,4170.31884766,2.27728033066,2.05891823769,0.266470909119,5139.26757812,4166.30078125,6551.06152344,2.09110426903,2.20721578598,0.21451947093,6543.44677734,5415.28320312
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,9,4186.13183594,2.2120950222,2.00957202911,0.245509505272,5040.21582031,4182.24511719,5931.66015625,2.0235080719,2.02990293503,0.126084119081,5924.56542969,4880.44091797
g2,actor_free_td_lewm_v2_ema_sg_g2,V2-EMA-SG-G2 Coupled Hybrid Prefix-Mean Advantage,10,4404.54541016,2.15370202065,1.95972836018,0.241946563125,5301.47460938,4400.80761719,5881.15820312,1.90535700321,2.1410844326,0.244518369436,5873.87353516,4841.11767578
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,1,1784.45336914,0.782793521881,0.591388165951,0.215066060424,3218.40283203,2885.89257812,4692.79589844,1.1123714447,1.03199076653,0.318741828203,4684.79589844,4517.31787109
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,2,4073.69238281,1.60013949871,1.30369305611,0.301660329103,4962.26611328,4070.55297852,7184.35400391,1.65637183189,1.51163029671,0.22067129612,7176.46630859,6019.68652344
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,3,5035.75195312,2.02703619003,1.68385672569,0.351215779781,6508.72167969,5031.89697266,9154.19921875,1.93663358688,1.80228376389,0.38603925705,9145.37402344,7625.23144531
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,4,5033.12695312,2.21649026871,1.88349723816,0.355982869864,6728.07324219,5029.04150391,9259.921875,2.03887271881,2.03224086761,0.244196802378,9251.44042969,7623.01904297
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,5,4618.22509766,2.2187333107,1.93534827232,0.322721093893,6225.40917969,4614.16894531,8196.15917969,2.07094192505,2.01739859581,0.198835596442,8188.16943359,6507.31445312
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,6,4170.23388672,2.20761322975,1.95788061619,0.301088154316,5621.10986328,4166.26025391,6900.95263672,1.92034816742,2.06303143501,0.227007210255,6893.43896484,5354.45898438
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,7,3780.62988281,2.14844918251,1.92652153969,0.276814490557,5038.93652344,3776.81567383,7146.81835938,2.0252995491,2.08808732033,0.183377817273,7138.86376953,5719.9140625
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,8,3259.35571289,2.09592103958,1.89705276489,0.251822710037,4456.22705078,3255.70751953,6075.25585938,1.95972800255,2.07560777664,0.220300361514,6067.93554688,4620.39306641
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,9,3343.9152832,2.03653240204,1.85033333302,0.234611153603,4454.68164062,3340.38867188,5418.99609375,1.9072445631,1.92899084091,0.153496325016,5412.04980469,4095.90258789
g3,actor_free_td_lewm_v2_ema_sg_g3,V2-EMA-SG-G3 Coupled Hybrid Prefix-Marginal Advantage,10,3606.91113281,1.98541426659,1.80913960934,0.22779558599,4794.80224609,3603.51245117,5335.92822266,1.82132422924,1.98822140694,0.224207103252,5328.92871094,4050.38256836
