epoch,variant,method,score_mode,g_first_weight,success_count,success_rate,success_rate_percent,checkpoint_epoch,checkpoint_global_step,checkpoint_sha256,training_manifest_sha256,evaluation_commit,source_scope,source_status,cell_id
7,c,actor_free_td_lewm_v2_ema_sg_c,f_plus_g_first,0.25,19,0.38,38.0,7,89572,a6c3941116ab820b43b60341b6b1daee09609148a92aa7ab6c5f0c87aaf3ed6b,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_c_f_plus_g_first_alpha_0p25
7,c,actor_free_td_lewm_v2_ema_sg_c,g_only_f_rollout_mean,,18,0.36,36.0,7,89572,a6c3941116ab820b43b60341b6b1daee09609148a92aa7ab6c5f0c87aaf3ed6b,85f830c8da0dbcf8c4d95429181680a79f5d9ef19044f1bfc98cbfb923d5b906,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_c_g_only_f_rollout_mean
7,d,actor_free_td_lewm_v2_ema_sg_d,f_plus_g_first,0.25,20,0.4,40.0,7,89572,07c4a13d5dc10110614781b6dcb72c11aa96ddfe562e22f357966d85c544e36b,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_d_f_plus_g_first_alpha_0p25
7,d,actor_free_td_lewm_v2_ema_sg_d,g_only_f_rollout_mean,,20,0.4,40.0,7,89572,07c4a13d5dc10110614781b6dcb72c11aa96ddfe562e22f357966d85c544e36b,d00ce602e3ad2aa4c764a04d864b7888b50ce794b4c06b138471b61afc16df1e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_d_g_only_f_rollout_mean
7,f,actor_free_td_lewm_v2_ema_sg_f,f_plus_g_first,0.25,17,0.34,34.0,7,89572,89727406e06e1d8e3c44a8eabcdc045881b3bf77508e392222c81b2a6575f0b5,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_f_f_plus_g_first_alpha_0p25
7,f,actor_free_td_lewm_v2_ema_sg_f,g_only_f_rollout_mean,,23,0.46,46.0,7,89572,89727406e06e1d8e3c44a8eabcdc045881b3bf77508e392222c81b2a6575f0b5,b7b0c347ad46f129ec4deb2a569297f04e065f8cc7c93cbec8bd3ac6fac3c0c4,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_f_g_only_f_rollout_mean
7,g1,actor_free_td_lewm_v2_ema_sg_g1,f_plus_g_first,0.25,13,0.26,26.0,7,89572,70e7c9cc4f6c5591105cda5c377b6215498740c10e65ffe17a8cf6328723bf01,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_g1_f_plus_g_first_alpha_0p25
7,g1,actor_free_td_lewm_v2_ema_sg_g1,g_only_f_rollout_mean,,18,0.36,36.0,7,89572,70e7c9cc4f6c5591105cda5c377b6215498740c10e65ffe17a8cf6328723bf01,03a89ab793d18f269755252de46103388376fb8aff0e985c4940ff3cfb5c8785,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_g1_g_only_f_rollout_mean
7,g2,actor_free_td_lewm_v2_ema_sg_g2,f_plus_g_first,0.25,22,0.44,44.0,7,89572,429d18b1801a2198d12c40b034e949a20550d70b2a39a1992b736bf949ee4c93,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_g2_f_plus_g_first_alpha_0p25
7,g2,actor_free_td_lewm_v2_ema_sg_g2,g_only_f_rollout_mean,,15,0.3,30.0,7,89572,429d18b1801a2198d12c40b034e949a20550d70b2a39a1992b736bf949ee4c93,5fc1b204e7250ccfcbfda8f0bb2e184be5d9cffe89f16561f2c1d4bea52bf50e,5456f3d18116812d078d4ec2e85ba1f83d89c7c7,original_epoch4_10,REUSED,v2_ema_e07_g2_g_only_f_rollout_mean
